species	genus	family	order	class	phylum	superkingdom
Mucinivorans hirudinis	Mucinivorans	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Mucispirillum schaedleri	Mucispirillum	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
Murdochiella massiliensis	Murdochiella	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Murdochiella vaginalis	Murdochiella	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Muribaculum intestinale	Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Muricauda lutaonensis	Muricauda	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Muricomes intestini	Muricomes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Murimonas intestini	Murimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mycoplasma alvi	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma amphoriforme	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma capricolum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma cloacale	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma gallisepticum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma hominis	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma mycoides	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma orale	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma phocidae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma pirum	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma pneumoniae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma putrefaciens	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma salivarium	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Mycoplasma yeatsii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Natranaerovirga pectinivora	Natranaerovirga		Clostridiales	Clostridia	Firmicutes	Bacteria
Natronincola histidinovorans	Natronincola	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Natronoflexus pectinivorans	Natronoflexus	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Ndongobacter massiliensis	Ndongobacter				Firmicutes	Bacteria
Negativibacillus massiliensis	Negativibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Negativicoccus massiliensis	Negativicoccus	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Neglecta timonensis	Neglecta	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Neisseria bacilliformis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neisseria elongata	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neisseria macacae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neisseria mucosa	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neisseria perflava	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neisseria subflava	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Neorhizobium sp. NCHU2750	Neorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Neorhizobium sp. SOG26	Neorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nibricoccus aquaticus	Nibricoccus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
Nitrobacter hamburgensis	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nitrobacter winogradskyi	Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nitrospirillum amazonense	Nitrospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Nitrospirillum iridis	Nitrospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Niveispirillum cyanobacteriorum	Niveispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Niveispirillum fermenti	Niveispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Niveispirillum irakense	Niveispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Nonlabens halophilus	Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Nonlabens sediminis	Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Nonlabens sp. MIC269	Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Nonlabens xiamenensis	Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Nosocomiicoccus massiliensis	Nosocomiicoccus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Notoacmeibacter marinus	Notoacmeibacter	Notoacmeibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Novibacillus thermophilus	Novibacillus	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Novispirillum itersonii	Novispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Novosphingobium sp. ABRDHK2	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Novosphingobium subterraneum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Numidum massiliense	Numidum	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Obesumbacterium proteus	Obesumbacterium	Hafniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Occidentia massiliensis	Occidentia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Ochrobactrum anthropi	Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Ochrobactrum gallinifaecis	Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Odoribacter laneus	Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Odoribacter splanchnicus	Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Oleomonas sagaranensis	Oleomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Oligosphaera ethanolica	Oligosphaera	Oligosphaeraceae	Oligosphaerales	Oligosphaeria	Lentisphaerae	Bacteria
Olsenella scatoligenes	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Olsenella sp. GAM18	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Olsenella sp. oral taxon 807	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Olsenella timonensis	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Olsenella uli	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Olsenella umbonata	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Opitutus terrae	Opitutus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
Oribacterium asaccharolyticum	Oribacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oribacterium parvum	Oribacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oribacterium sinus	Oribacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Ornithobacterium rhinotracheale	Ornithobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Oscillatoria nigro-viridis	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Oscillatoria sancta	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Oscillibacter ruminantium	Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp. PEA192	Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oscillibacter valericigenes	Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oxalobacter formigenes	Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Oxalobacter vibrioformis	Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Oxalophagus oxalicus	Oxalophagus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Oxobacter pfennigii	Oxobacter	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paenibacillus algorifonticola	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus alkaliterrae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus anaericanus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus antarcticus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus arcticus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus catalpae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus chinjuensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus contaminans	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus donghaensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus glacialis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus mucilaginosus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus nematophilus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus odorifer	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus periandrae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus polymyxa	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus protaetiae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus psychroresistens	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus qinlingensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sabinae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus shunpengii	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sp. BIHB4019	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sp. DCT19	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sp. JDR-2	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sp. M-152	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus sp. lzh-N1	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus timonensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paenibacillus yonginensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paeniclostridium sordellii	Paeniclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paludibacter jiangxiensis	Paludibacter	Paludibacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paludibacter propionicigenes	Paludibacter	Paludibacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paludicola psychrotolerans	Paludicola	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pantoea agglomerans	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Papillibacter cinnamivorans	Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Parabacteroides chinchillae	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides chongii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides goldsteinii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides gordonii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides johnsonii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides merdae	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parabacteroides sp. CT06	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Parapedobacter defluvii	Parapedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Parapedobacter koreensis	Parapedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Paraprevotella clara	Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paraprevotella xylaniphila	Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Pararhizobium haloflavum	Pararhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Parasutterella excrementihominis	Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Parasutterella secunda	Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Parolsenella catena	Parolsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Parvibacter caecicola	Parvibacter	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Parvimonas micra	Parvimonas	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Parvularcula lutaonensis	Parvularcula	Parvularculaceae	Parvularculales	Alphaproteobacteria	Proteobacteria	Bacteria
Pectinatus frisingensis	Pectinatus	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Pectinatus haikarae	Pectinatus	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Pectinatus sottacetonis	Pectinatus	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Pectobacterium parmentieri	Pectobacterium	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pediococcus acidilactici	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Pediococcus claussenii	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Pediococcus damnosus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Pediococcus pentosaceus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Pedobacter nanyangensis	Pedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Pelagibacterium lentulum	Pelagibacterium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pelagicoccus croceus	Pelagicoccus	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
Pelagicoccus litoralis	Pelagicoccus	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
Pelagicoccus mobilis	Pelagicoccus	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
Pelosinus fermentans	Pelosinus	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Pelosinus propionicus	Pelosinus	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Peptacetobacter hiranonis	Peptacetobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoanaerobacter stomatis	Peptoanaerobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoclostridium acidaminophilum	Peptoclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoclostridium litorale	Peptoclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptococcaceae bacterium DCMF		Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptococcus niger	Peptococcus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptococcus simiae	Peptococcus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoniphilus asaccharolyticus	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus catoniae	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus coxii	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus duerdenii	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus gorbachii	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus grossensis	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus harei	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus ivorii	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus koenoeneniae	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus lacrimalis	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptoniphilus lacydonensis	Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
